query,ground_truth_title
الساعة التي توقفت في لحظة فارقة,الساعة التي توقفت في لحظة فارقة
قصة الساعة التي توقفت,الساعة التي توقفت في لحظة فارقة
قصة عن ساعة قديمة في قرية,الساعة التي توقفت في لحظة فارقة
حكاية عن الزمن والوقت,الساعة التي توقفت في لحظة فارقة
ساعة توقفت في برج الكنيسة أثناء مهرجان الربيع,الساعة التي توقفت في لحظة فارقة
قرية تحتفل بمهرجان الربيع وساعتها معطلة,الساعة التي توقفت في لحظة فارقة
فتاة تدعى ليلى تتسلق برج الساعة,الساعة التي توقفت في لحظة فارقة
من هي ليلى التي أصلحت الساعة؟,الساعة التي توقفت في لحظة فارقة
قصة تعلم أهمية الاستمتاع باللحظات الجميلة,الساعة التي توقفت في لحظة فارقة
حكمة عن أن الحياة لا تتوقف مهما حدث,الساعة التي توقفت في لحظة فارقة
