query,ground_truth_title,precision_at_5,recall_at_5,hit_rate_at_5,reciprocal_rank
الساعة التي توقفت في لحظة فارقة,الساعة التي توقفت في لحظة فارقة,0.2,1.0,1.0,0.5
قصة الساعة التي توقفت,الساعة التي توقفت في لحظة فارقة,0.0,0.0,0.0,0.0
قصة عن ساعة قديمة في قرية,الساعة التي توقفت في لحظة فارقة,0.0,0.0,0.0,0.0
حكاية عن الزمن والوقت,الساعة التي توقفت في لحظة فارقة,0.0,0.0,0.0,0.0
ساعة توقفت في برج الكنيسة أثناء مهرجان الربيع,الساعة التي توقفت في لحظة فارقة,0.2,1.0,1.0,1.0
قرية تحتفل بمهرجان الربيع وساعتها معطلة,الساعة التي توقفت في لحظة فارقة,0.2,1.0,1.0,0.5
فتاة تدعى ليلى تتسلق برج الساعة,الساعة التي توقفت في لحظة فارقة,0.2,1.0,1.0,0.2
من هي ليلى التي أصلحت الساعة؟,الساعة التي توقفت في لحظة فارقة,0.0,0.0,0.0,0.0
قصة تعلم أهمية الاستمتاع باللحظات الجميلة,الساعة التي توقفت في لحظة فارقة,0.0,0.0,0.0,0.0
حكمة عن أن الحياة لا تتوقف مهما حدث,الساعة التي توقفت في لحظة فارقة,0.0,0.0,0.0,0.0
